sid,name,cname
sh600555,海航创新,含B股
sh600602,仪电电子,含B股
sh600604,市北高新,含B股
sh600610,中毅达,含B股
sh600611,大众交通,含B股
sh600612,老凤祥,含B股
sh600613,神奇制药,含B股
sh600614,鼎立股份,含B股
sh600617,国新能源,含B股
sh600618,氯碱化工,含B股
sh600619,海立股份,含B股
sh600623,华谊集团,含B股
sh600639,浦东金桥,含B股
sh600648,外高桥,含B股
sh600650,锦江投资,含B股
sh600663,陆家嘴,含B股
sh600679,上海凤凰,含B股
sh600680,上海普天,含B股
sh600689,上海三毛,含B股
sh600695,绿庭投资,含B股
sh600698,湖南天雁,含B股
sh600726,华电能源,含B股
sh600751,天海投资,含B股
sh600754,锦江股份,含B股
sh600776,东方通信,含B股
sh600801,华新水泥,含B股
sh600818,中路股份,含B股
sh600819,耀皮玻璃,含B股
sh600822,上海物贸,含B股
sh600827,百联股份,含B股
sh600835,上海机电,含B股
sh600841,上柴股份,含B股
sh600843,上工申贝,含B股
sh600844,丹化科技,含B股
sh600845,宝信软件,含B股
sh600848,上海临港,含B股
sh600851,海欣股份,含B股
sz000011,深物业A,含B股
sz000012,"南 玻Ａ",含B股
sz000016,深康佳Ａ,含B股
sz000017,深中华A,含B股
sz000018,神州长城,含B股
sz000019,深深宝Ａ,含B股
sz000020,深华发Ａ,含B股
sz000022,深赤湾Ａ,含B股
sz000025,"特 力Ａ",含B股
sz000026,飞亚达Ａ,含B股
sz000028,国药一致,含B股
sz000029,深深房Ａ,含B股
sz000030,富奥股份,含B股
sz000045,深纺织Ａ,含B股
sz000055,方大集团,含B股
sz000056,皇庭国际,含B股
sz000058,"深 赛 格",含B股
sz000413,东旭光电,含B股
sz000418,小天鹅Ａ,含B股
sz000429,粤高速Ａ,含B股
sz000488,晨鸣纸业,含B股
sz000521,美菱电器,含B股
sz000530,大冷股份,含B股
sz000539,粤电力Ａ,含B股
sz000541,佛山照明,含B股
sz000550,江铃汽车,含B股
sz000553,沙隆达Ａ,含B股
sz000570,苏常柴Ａ,含B股
sz000581,威孚高科,含B股
sz000596,古井贡酒,含B股
sz000613,大东海A,含B股
sz000625,长安汽车,含B股
